,Unnamed: 0,평점,날짜,제목,내용
454,454,4,21.05.09.,기존 블랙 쿠션하고 비교해보면발림성은 더 좋은거 같아요 수분이 더 많아서 그런지 더 쉽게 퍼프에 묻고 펴바르기가 쉽네요그리고 뽀송함은 덜해요 기존 블랙쿠션이 약간 파우더리한 느낌이,기존 블랙 쿠션하고 비교해보면발림성은 더 좋은거 같아요 수분이 더 많아서 그런지 더 쉽게 퍼프에 묻고 펴바르기가 쉽네요그리고 뽀송함은 덜해요 기존 블랙쿠션이 약간 파우더리한 느낌이 많았기에 더 메트하고 뽀송했던거 같은데 그런 느낌이 덜합니다좋게말하면 사용감이 좋아진거고 나쁘게 말하면 블랙쿠션만의 특색이 없어진 느낌이에요그래도 일단 하나는 다 써봐야 정확히 할거 같습니다
455,455,5,21.04.17.,호라그런지 배송빠르게왔어요파운데이션과 쿠션 유목한지 몇년째입니다코로나터지고 화장할일이 별로 없긴한데할때마다 마스크에 묻어서 갈아껴야하고 짜증났거든요 ㅋㅋ 오자마자 발랏는데 일,호라그런지 배송빠르게왔어요파운데이션과 쿠션 유목한지 몇년째입니다코로나터지고 화장할일이 별로 없긴한데할때마다 마스크에 묻어서 갈아껴야하고 짜증났거든요 ㅋㅋ 오자마자 발랏는데 일단은 마스크에 안묻네요 ㅎ 샘플로온 틴트도 맘에들고 저렴히 구매한것 같아요 ㅋ
456,456,5,21.04.17.,마스크에 아예 안묻어나진 않은데확실히 지금까지 썼던 것들보다 덜 묻어나고피부에 찍힘이나 벗겨짐도 덜해서 넘넘 만족해요 밀착력 진짜 최고ㅋㅋㅋ갠적으로 시간지나면 칙칙해지는거도,마스크에 아예 안묻어나진 않은데확실히 지금까지 썼던 것들보다 덜 묻어나고피부에 찍힘이나 벗겨짐도 덜해서 넘넘 만족해요밀착력 진짜 최고ㅋㅋㅋ갠적으로 시간지나면 칙칙해지는거도 딱히 못느꼈어용나 남산 컬러 사용하는 밝은호이고 테스트를 할 수가 없어서 호수고민 많이 했는데 샘플 진짜 잘 챙겨주셔서 감사합니다ㅠㅠㅎㅎ
457,457,5,21.04.29.,감동이에요 ㅠㅠ블랙쿠션은 셀수도 없이 쓰고있어서 말이 필요없이 만족이구요 결제 하루만에 배송완료에 넉넉한 샘플 구성까지제가 원하는 샘플 다 들어있어서 득템한 기분이에요 꼼꼼,감동이에요 ㅠㅠ블랙쿠션은 셀수도 없이 쓰고있어서 말이 필요없이 만족이구요 결제 하루만에 배송완료에 넉넉한 샘플 구성까지 꼼꼼한 선물 포장도 감사합니다담에 헤라 구매할 거 있으면 무조건 여기서 구매하려구요 ㅎㅎ
458,458,5,21.03.31.,피부가 밝아서 제일 밝은거 샀는데 호가 생각보다 많이 밝아요 테스트 했었다면 호샀을거 같아요ㅠ제피부타입은 코주변 이마는 기름기돌고 볼은 약간 건성인 복합성 피부입니다,피부가 밝아서 제일 밝은거 샀는데 호가 생각보다 많이 밝아요 테스트 했었다면 호샀을거 같아요ㅠ제피부타입은 코주변 이마는 기름기돌고 볼은 약간 건성인 복합성 피부입니다오늘 얇게 펴발랐는데 일단 촉촉하진 않지만 밀착은 잘되고 파우더처리후 마스크 오래꼈는데 잘유지되요 파우더 처리시 묻어남 있지만 적게묻어서 좋아요전 속건조는 못느꼈는데 건조하신분들은 기초탄탄하게 하시고 사용하시거나 여름엔 괜찮은실거 같네요
459,459,5,21.04.04.,이번에 리뉴얼되었다는 유튜브를 보고 라이브보면서 구매하게 되었습니다샘플도 많이 주시고 커버력 지속력 밀착력 모두 좋은 것 같아요 세미매트 제형이라 발랐을 때 광은 전혀 없어,이번에 리뉴얼되었다는 유튜브를 보고 라이브보면서 구매하게 되었습니다샘플도 많이 주시고 커버력 지속력 밀착력 모두 좋은 것 같아요 세미매트 제형이라 발랐을 때 광은 전혀 없어요처음에 바르고 마스크를 썼는데 묻어서 당황했어요 근데 유튜브에서 블랙쿠션 마스크에 묻지 않게 바르는 방법을 보고 따라해보니 묻지 않네요ㅎㅎㅎ저는 평소 호를 쓰고 블랙쿠션은 를 구매했는데 생각보다 밝지 않아요 제 피부같이 자연스럽네요잘 산 것 같아요
460,460,5,21.05.04.,예전 블랙쿠션은 두껍다 그래서 안써봤는데 요번에 리뉴얼이 잘되었다고 해서 바로 질렀는데 만족하며 잘 사용하고 있어요 퍼프가 참 마음에 드는데 첫 기회를 놓쳐 증정 못받으니 되게,예전 블랙쿠션은 두껍다 그래서 안써봤는데 요번에 리뉴얼이 잘되었다고 해서 바로 질렀는데 만족하며 잘 사용하고 있어요 퍼프가 참 마음에 드는데 첫 기회를 놓쳐 증정 못받으니 되게 아쉽더라구요 퍼프만 따로 사고 싶어요 얇게 발리구 색도 예쁘고 케이스도 예쁘고 아쉬울 게 없는 제품입니다
461,461,5,21.04.30.,처음에 긴가민가했는데 피부에 발림성도 좋고 밀착력도 좋고 무엇보다도 가벼워요 두꺼운 느낌이 아니고 일단 마스크에 완전히 안 묻는건 아니에요 제가 못해서 그런걸수도있지만 아,처음에 긴가민가했는데 피부에 발림성도 좋고 밀착력도 좋고 무엇보다도 가벼워요 두꺼운 느낌이 아니고 일단 마스크에 완전히 안 묻는건 아니에요 제가 못해서 그런걸수도있지만 아 근데 일반 쿠션보다 티나게 지워지는 건 아니고 별로 티가 안나던데요 어제 같이 있던 사람들보다 월등하게 지속력이 좋았습니다 편하고 좋더라고요
462,462,5,21.05.16.,구성 본품리필  스킨로션 샘플  폼클렌징 샘플  틴트샘플기존 제품도 을 사용했어서 이번 제품도 을 구매했어요색상은 비슷한데 밀착력이 조금 아쉬워진 느낌,구성 본품리필  스킨로션 샘플  폼클렌징 샘플  틴트샘플기존 제품도 을 사용했어서 이번 제품도 을 구매했어요색상은 비슷한데 밀착력이 조금 아쉬워진 느낌대신 얼굴에 발랐을때 텁텁하게 발리는 느낌은 덜해진 듯 해요아 그리고 마스크에 묻어남이 좀 있네요리뉴얼전 제품은 확실하게 매트한 느낌이라 좀 마르고 나면 마스크에 잘 안묻어났는데리뉴얼 후 제품은 약간 촉촉한 느낌이 있어서 마스크 오래써서 습기 생기면 묻어남이 많아져요그게 아쉽네요
463,463,4,21.04.19.,코부분에 붉은기가 있는데 커버가 잘되고 수정없이 시간 정도 지났는데 지속도 잘되는 편이었어요 겨울에는 건조해서 미스트쿠션 쓰는데 봄여름엔 블랙도 건조한 느낌없이 잘 쓸,코부분에 붉은기가 있는데 커버가 잘되고 수정없이 시간 정도 지났는데 지속도 잘되는 편이었어요 겨울에는 건조해서 미스트쿠션 쓰는데 봄여름엔 블랙도 건조한 느낌없이 잘 쓸 수 있을것 같아요 케이스는 지문이 너무 많이 묻어서 지저분한 느낌이 드네요ㅠ그래도 내용물은 좋으니까ㅎㅎ그리구 같이 온 샘플들도 좋네용틴트도 색깔 넘 예뻐요
464,464,5,21.05.27.,와 제가 수부지에 민감성 피부인데 진짜 추천템이에요 퍼프를 여러번 두드릴때마다 커버력이 올라가고요 제가 속건조까지 가지고 있는데 요건 건조하지도 않아요 다들 왜 쓰는지 이제,와 제가 수부지에 민감성 피부인데 진짜 추천템이에요 퍼프를 여러번 두드릴때마다 커버력이 올라가고요 제가 속건조까지 가지고 있는데 요건 건조하지도 않아요 다들 왜 쓰는지 이제 알겠네요 굿굿 쿠션 유목민은 여기서 잠들겠습니다 샘플도 많이 보내주셔서 감사해요 적게 일하고 많이 버시길
465,465,5,21.05.11.,한달전에 구입했는데 잃어버려서 또 구매했어요다른 쿠션도 있는데 굳이 또 산 이유는유지력이 엄청 좋다는거 솔직히 마스크쓰면 지워지긴 하지만 다른 쿠션에 비하면 정말 안,한달전에 구입했는데 잃어버려서 또 구매했어요다른 쿠션도 있는데 굳이 또 산 이유는유지력이 엄청 좋다는거 솔직히 마스크쓰면 지워지긴 하지만 다른 쿠션에 비하면 정말 안지워지는 편이에요이번엔 잃어버리지 않고 잘 사용할께요
466,466,4,21.05.28.,임신하고 출산하면서 화장품이 오래돼서 구입했어요 마스크쓰고 다니느라 화장을 아예 안했었는데 사진촬영같은거 할땐 너무 안하면 안되겠더라구요 ㅜㅜ커버력은 호 기준으로 적당히 화사,임신하고 출산하면서 화장품이 오래돼서 구입했어요마스크쓰고 다니느라 화장을 아예 안했었는데 사진촬영같은거 할땐 너무 안하면 안되겠더라구요 ㅜㅜ커버력은 호 기준으로 적당히 화사한 편이고 저는 소량으로 커버하는편이라 피부에 흡착시간주면서 톡톡두드려주면 마스크묻어남은 적은편이에요어제 밖에 나가면서 날이 더웠고 야외에서 마스크 시간정도 착용하면서 돌아다녔는데 땀이나서 좀 묻어남이 있었지만 양호했구요근데 사은품 로션들은 향이 너무 강해서 머리가 아파요 ㅠㅠ 다행히 쿠션은 향이 진한편이 아니라 다행이에요
467,467,5,21.05.03.,헤라블랙쿠션이 하도 유명하길래 에이 그래봣자 파데가 거기서 다 거기지했는데용시간동안 마스크 쓰고 보호용 쉴드까지 쓴채로 땀나게 일햇는데도 와무너짐이 진짜 역대급으로,헤라블랙쿠션이 하도 유명하길래 에이 그래봣자 파데가 거기서 다 거기지했는데용시간동안 마스크 쓰고 보호용 쉴드까지 쓴채로 땀나게 일햇는데도 와무너짐이 진짜 역대급으로 적더라고용 일하는 동안 틈틈이 마스크 내리고 피부상태 봣는데 묻어남이나 마스크 자국 같은게 진짜 덜해요그리고 보호용 쉴드가 안경 형태여서 콧등 눌리는 부분이 있어서 걱정했는데안경쓰시는분들은 알거에요 파데 바르고 안경쓰면 콧등에 자국 남는거ㅠ 그런 점도 진짜 만족스러울 정도로 자국이 덜 나요파데가 머 거기서 거기겠지 ㅋㅋ했다가결국엔유명한데에는 다 이유가 있구나라는 뻔한 말만되는 제품
468,468,1,21.05.18.,시간을 두고 말린다음 마스크를써야 안묻어나고 분정도 말리고 쓰면 묻어나요네오쿠션은 분정도뒤면 써도 안묻어나길래 비슷할줄알았는데 얘가 훨씬 잘묻네요커버력은 좋은데 마스크,시간을 두고 말린다음 마스크를써야 안묻어나고 분정도 말리고 쓰면 묻어나요네오쿠션은 분정도뒤면 써도 안묻어나길래 비슷할줄알았는데 얘가 훨씬 잘묻네요커버력은 좋은데 마스크안이 습해지니 뭉쳐서 별로였어요특히 수정화장할때 최악이였어요차라리 컨실러쓰고 네오쿠션쓰는게 훨씬 낫더라구요가득하네요라이브때 구매해서 배송도 늦었고 사은품 가방은 진짜 허접한데 그마저도 불량이라 교환했더니 더 심한 불량을 보냈더라구요공식이라 믿고 시켰는데 여기서 다신 안살거같아요사은품으로받은 선크림만 잘쓰고있네요
469,469,4,21.04.05.,일단 커버력은 정말 좋구요  그런데 정말 각질이랑 수분관리를 잘해야 하고 안그러면 다 떠버리더라구요 아무래도 마스크나 이런곳에 안묻는대신 정말 매트해용 그리고 썬크림이랑 같이,일단 커버력은 정말 좋구요  그런데 정말 각질이랑 수분관리를 잘해야 하고 안그러면 다 떠버리더라구요 아무래도 마스크나 이런곳에 안묻는대신 정말 매트해용 그리고 썬크림이랑 같이 밀려요 ㅜㅜ 색상은 정말 화사한데 잘 무너져요  그래도 향도 괜찮고 색상도 맘에즐고 직장다니는데 마스크 벗어도 거의 묻어남이 없어서 좋아요 건조하신 분들은 조금 조심하세요
470,470,5,21.05.29.,사은품보고 깜짝놀랐습니다 처음써보는 브랜드라 걱정이있었는데 걱정한게 무색할만큼 너무 좋았어요 제일 좋았던 점은 지속력이였고 하루종일 있어도 입가말고는 수정할곳이 안생길정도로,사은품보고 깜짝놀랐습니다처음써보는 브랜드라 걱정이있었는데 걱정한게 무색할만큼 너무 좋았어요 제일 좋았던 점은 지속력이였고 하루종일 있어도 입가말고는 수정할곳이 안생길정도로 저한텐 너무 잘 맞았어요수분부족지성피부인데 많이 건조함 없이 유분기도 잘 잡아줘서 여름에 더욱 좋을 것 같습니다
471,471,4,21.04.17.,헤라는 처음 써보는데 광고보고 혹 해서 주문했어요평소 샤 베이스 파데 파우더순으로 화장했는데베이스바르고 쿠션두드리니 얇게 잘되네요운동할때 바르고 가서 땀열심히 닥았는데도 화장,헤라는 처음 써보는데 광고보고 혹 해서 주문했어요평소 샤 베이스 파데 파우더순으로 화장했는데베이스바르고 쿠션두드리니 얇게 잘되네요운동할때 바르고 가서 땀열심히 닥았는데도 화장 잘 남아있네요 강해요 이아이 ㅋㅋㅋ여름에 좋을듯샤쿠션은 잘묻어나서 불편해서 다신 안쓰는데 요곤 괜찮네요 박스열때 향기가 너무 좋아서 세세하게 신경써서 보내주신거 같아서 고마워요잘쓸게요
472,472,5,21.04.15.,일단 박스 열자마자 아주 감동이었어요ㅎㅎ 쿠션하나 샀는데 가득한 선물이 있어서 너무 좋았습니다ㅎㅎ 오자마자 나갈 일이 생겨서 쿠션 사용해봤습니다 저는 건성에 마스크 때문에 피부가,일단 박스 열자마자 아주 감동이었어요ㅎㅎ 쿠션하나 샀는데 가득한 선물이 있어서 너무 좋았습니다ㅎㅎ 오자마자 나갈 일이 생겨서 쿠션 사용해봤습니다 저는 건성에 마스크 때문에 피부가 많이 예민한 상태인데요 기초를 좀 탄탄하게 해두어야 이쁜 피부표현이 될 수 있었어요ㅎㅎ 발림성은 만족스러웠습니다 퍼프도 무난하다고 느꼈어요 무엇보다 좋았던건 뭉치지 않고 무너질때도 예쁘게 무너진다고 느꼈습니다 최근 사용한 쿠션 중에서 가장 맘에 들었어요 감사합니다
473,473,5,21.05.25.,나스쿠션만 쓰다가 일ㅂ꺼라서 불매하고 다른 쿠션 정말 많이 실패했었어요그렇게 쿠션유목민이다가 기존 블랙쿠션 호 참 잘썼어요 통 넘게쓴것같아요  정착해서 좋았는데 더이상,나스쿠션만 쓰다가 일ㅂ꺼라서 불매하고 다른 쿠션 정말 많이 실패했었어요그렇게 쿠션유목민이다가 기존 블랙쿠션 호 참 잘썼어요 통 넘게쓴것같아요  정착해서 좋았는데 더이상 리필을 구매할수가 없어서 새로나온것 한번써보자 하다가 구매했어요 리뷰 꼼꼼히 보고 결정한건데 배송전 색상이 너무 밝을까 걱정많이했어요빠른배송에 만족했고 기존호보다 살짝 밝은 느낌인데 색상도 딱 좋아요기존 블랙쿠션보다 기름진다는 느낌이있어요각질제거 잘하고 쓰셔야겠어요
474,474,3,21.05.15.,쿨톤이고 기존 블랙쿠션 호사용했는데  잘맞아요장점 에스티 입생보다 저렴한가격퍼프가 확실히 좋아요 팡팡 하면 잘펴발라집니다타쿠션보다 마스크에 덜 묻어남단점케이스에,쿨톤이고 기존 블랙쿠션 호사용했는데  잘맞아요장점에스티 입생보다 저렴한가격퍼프가 확실히 좋아요 팡팡 하면 잘펴발라집니다타쿠션보다 마스크에 덜 묻어남단점케이스에 지문이너무잘묻어나서 지저분해보여 계속닦게됨화장진하게한것같다는얘기들음
475,475,5,21.04.11.,샘플잘 챙겨주셔서 넘감사해요예전 헤라 블랙쿠션 사용했엇는데 돌고돌아 다시 블랙쿠션이네요ㅋㅋㅋ 현재는 블랙파운데이션  사용중인데 제가 붉은기가 심해서 쿠션은 ,샘플잘 챙겨주셔서 넘감사해요예전 헤라 블랙쿠션 사용했엇는데 돌고돌아 다시 블랙쿠션이네요ㅋㅋㅋ 현재는 블랙파운데이션  사용중인데 제가 붉은기가 심해서 쿠션은  번으로 구매해봤어요 쿠션은 아직 발라보진않았는데 샘플로 받은 파운데이션이랑 제가가지고잇는 파데랑 비교해봤어요저한테는  색상이 잘맞는거같아요 ㅋㅋㅋ 색상 고민되시는분들 참고해보세요 ㅎㅎㅎ
476,476,1,21.05.10.,배송하 말이 안 나오네요월 일에 결제했는데월일에 받았습니다그 동안 입고지연이라던지 사전 연락 없었고요제가 먼저 문의해야 일정 답변 받을 수 있었습니다그런,배송하 말이 안 나오네요월 일에 결제했는데월일에 받았습니다그 동안 입고지연이라던지 사전 연락 없었고요제가 먼저 문의해야 일정 답변 받을 수 있었습니다그런데 백화점 매장에는 떡하니 수량이 아주 많이 준비되어 있더라구요본사에서 상품 받아서 판매하는 업체도 아니고공홈 판매인데 기가차네요무슨말이 더 필요하죠상품이 아무리 좋아도 이건 아니죠너무 웃음이 나오네요 하하하
477,477,5,21.04.08.,헤라 블랙쿠션은 몇년째 꾸준히쓰고있던건데 이번에 더 좋게 리뉴얼됬다구해서 구매했어요ㅎㅎ 케이스가 더 고급스러워졌어용 블랙쿠션 지속력은 뭐 말할것도 없이 너무 좋죠 아니 근데 샘플,헤라 블랙쿠션은 몇년째 꾸준히쓰고있던건데 이번에 더 좋게 리뉴얼됬다구해서 구매했어요ㅎㅎ 케이스가 더 고급스러워졌어용 블랙쿠션 지속력은 뭐 말할것도 없이 너무 좋죠 아니 근데 샘플 머선일이예요 립팔레트 대박이에요 컬러도 다 예쁘고 잘쓸게용 감사합니다
478,478,5,21.05.09.,블랙쿠션 전부터 써보고 싶었는데 리뉴얼되고 더 좋아졌다해서 구매해봤어요 건성이라 건조할까봐 걱정했는데 기초 탄탄하게 하고 올렸더니 각질 부각없이 커버도 잘 되고 밀착력도 좋고,블랙쿠션 전부터 써보고 싶었는데 리뉴얼되고 더 좋아졌다해서 구매해봤어요 건성이라 건조할까봐 걱정했는데 기초 탄탄하게 하고 올렸더니 각질 부각없이 커버도 잘 되고 밀착력도 좋고 지속력도 좋고 컬러도 예쁘게 나온 것 같아서 맘에 들었어요  쿠션 하나 구매하는데 이것저것 넉넉하게 챙겨주시고 써보고 싶었던 기초라인 말씀드렸더니 바꿔서 챙겨주셔서 더 좋았어요
479,479,5,21.05.06.,평이 좋아 사고싶었는데 드디어 구매했네요 케이스도 자석으로 되어있고 고급스럽네요광고처럼 마스크에 안묻어나오는건 아니지만그래도 기존쓰고있는 제품보단 확실히 덜 묻어나오네요 사은,평이 좋아 사고싶었는데 드디어 구매했네요 케이스도 자석으로 되어있고 고급스럽네요광고처럼 마스크에 안묻어나오는건 아니지만그래도 기존쓰고있는 제품보단 확실히 덜 묻어나오네요사은품도 풍성하고 기다린보람이 있어요
480,480,5,21.05.14.,건성분들은 여름에 이거 아니면 다른거 못바르게 됩니다 픽서 없이도 마스크에 묻어나지않는 제품ㅜㅠ커버력은 기존의 헤라와 비슷하지만 땀이나 잠깐의 터치로 금방 지워지던 예전의,건성분들은 여름에 이거 아니면 다른거 못바르게 됩니다 픽서 없이도 마스크에 묻어나지않는 제품ㅜㅠ커버력은 기존의 헤라와 비슷하지만 땀이나 잠깐의 터치로 금방 지워지던 예전의 헤라는 더이상 없습니다 이거에요 여러분 악건성이신 분들은 기초만 단단하게 바르시고 꼭 흡수를 다 해주신뒤에 발라야 마스크에 안묻어나요 수정도 번 정도는 티안나게 수정할 수 있어요 넘나 좋은것
481,481,4,21.05.04.,생각했던 만큼 커버가 잘되거나 하진 않았어요 매장에서도 코로나 때문에 테스트는 물론이고 실제로는 아예 색상도 볼 수 없다고 해서 고민하다 샀는데 색상도 잘 안맞네요 그래도 마스크,생각했던 만큼 커버가 잘되거나 하진 않았어요 매장에서도 코로나 때문에 테스트는 물론이고 실제로는 아예 색상도 볼 수 없다고 해서 고민하다 샀는데 색상도 잘 안맞네요 그래도 마스크 묻어남은 확실히 덜한것 같은데 이정도 매트 쿠션에 커버력이 높지 않은 정도 치고는 그냥 원래 이정도 묻어나지 않나 싶어요 홍조 생각보다 안가려지고 해서 그냥 이전에 쓰던걸로 돌아갈까 합니다아 별표 하나 뺀건 배송때문이에요 제품이야 잘 왔고 저랑 안맞는거니까 별 뺄 일은 아닌데 배송이 사전 공지 없이 일주일가량 미뤄져서 좀 황당했습니다
482,482,4,21.04.12.,색상평소 파데호써서 으로 주문했는데 화사하게 좋아요커버 신기하게 볼에 홍조 기미는 커버가 되서 화사해보이는 반면 점은 커버가 안되요 그래서 커버력에서 별하는,색상평소 파데호써서 으로 주문했는데 화사하게 좋아요커버 신기하게 볼에 홍조 기미는 커버가 되서 화사해보이는 반면 점은 커버가 안되요 그래서 커버력에서 별하는 뺏지만 마치 생얼 같은 느낌을 줘요지속력 아침에 화장하고 한번도 수정화장 안했어요파데를 바르면 마스크에 묻어나서 고민하다 주문했는데 정말 마스크에 안묻아나고 화장도 무너지지 않아서 너무나 만족스러워요
483,483,5,21.04.02.,기존 블쿠도 잘 썼는데 리뉴얼된 블쿠 제형감이 확실히 얇아졌네요 마스크에 덜 묻어요 좋아여 기존 블파나 블쿠 쓰시던 분들이면 만족하실것같아영 찐 대만족 올해의 잘산템 탑안에 들어,기존 블쿠도 잘 썼는데 리뉴얼된 블쿠 제형감이 확실히 얇아졌네요 마스크에 덜 묻어요 좋아여 기존 블파나 블쿠 쓰시던 분들이면 만족하실것같아영 찐 대만족올해의 잘산템 탑안에 들어요 원래 쓰던 블쿠 좀 닦고 찍을 걸 넘 더러워보이는데 그만큼 오래 많이 썼던 쿠션이에용
484,484,4,21.05.10.,케이스가 고급져요 블랙이라 안쪽에 내용물이 묻어나는게 잘 보이지만 겉에가 이뻐서 괜찮아요ㅋㅋㅋ 일단 지성분들한테 추천드려야 할 것 같구 저는 에이지투웨니스 쓰다가 이거 쓰니까,케이스가 고급져요 블랙이라 안쪽에 내용물이 묻어나는게 잘 보이지만 겉에가 이뻐서 괜찮아요ㅋㅋㅋ 일단 지성분들한테 추천드려야 할 것 같구 저는 에이지투웨니스 쓰다가 이거 쓰니까 파우더까지 한 것 처럼 마무리 되더라고요 그래서 건조함이 유일한 단점 ㅠㅠ 기초를 살짝 오일리하게 하고 발라야겠어요 대신 유지력커버력은 굿
485,485,5,21.04.12.,아무리 좋다는 쿠션을 써봐도 저랑 안맞아서 항상 리퀴드파운데이션만 사용하다가 이번에 리뉴얼된 블랙쿠션이 너무 극찬에 극찬이길래 속는셈 치고 구매했는데 소량으로 너무 커버가 잘되고,아무리 좋다는 쿠션을 써봐도 저랑 안맞아서 항상 리퀴드파운데이션만 사용하다가 이번에 리뉴얼된 블랙쿠션이 너무 극찬에 극찬이길래 속는셈 치고 구매했는데 소량으로 너무 커버가 잘되고 지속력도 좋아요 자주 손이 가게될 쿠션일 것 같아요
486,486,5,21.05.29.,기존 블랙쿠션 호는 많이 어두웠어요 근데 이번 리뉴얼 블랙쿠션  색상은 정말 경계가 거의 안보일정도로 저랑 너무 찰떡이에요 블랙쿠션 기존꺼는 어두워서 잘안사용하게됐는,기존 블랙쿠션 호는 많이 어두웠어요 근데 이번 리뉴얼 블랙쿠션  색상은 정말 경계가 거의 안보일정도로 저랑 너무 찰떡이에요 블랙쿠션 기존꺼는 어두워서 잘안사용하게됐는데 이번에 완전 인생템입니다 피부 하야신분들은 진짜 너무 추천드려요 밀착력도 더 좋아지고 트러블 유발 입니다 블랙쿠션 이대로 리뉴얼하지말고 계속 팔아주세요ㅜㅜ평생구매할게요
487,487,5,21.04.01.,와 역시 믿고 쓰는 블랙쿠션 한 번의 양으로 다 커버되요 블랙쿠션 나오고 여름부터 가을 이렇게 쓰면서 다른 쿠션들은 한 번쓰고 빠빠이 였는데 리뉴얼 전 버전 블랙 리필을 계,와 역시 믿고 쓰는 블랙쿠션 한 번의 양으로 다 커버되요 블랙쿠션 나오고 여름부터 가을 이렇게 쓰면서 다른 쿠션들은 한 번쓰고 빠빠이 였는데 리뉴얼 전 버전 블랙 리필을 계속 사면서 썼어요묻어남이 아예 없진 않아요 제 직업이 말을 많이해서 그럴 수 있는데 잘 두드려주고 마무리만 잘 해주면 괜찮을 것 같아요 진짜 믿고쓰는 헤라 블랙마스크안에서 피부가 편한건 진짜 인정 제가 유튜브보고 에이 설마했는데 그 설마가 맞음고민하지말고 진짜 구매하세요 내돈내산 후기에요 진짜 여튼 다 이쁜 헤라 칭찬해
488,488,5,21.05.31.,쓰고 있던 미스트쿠션을 다 써서 헤라로 한번 구매했어요 이것저것 많이 챙겨주셔서 감사해요 커버력 엄청 좋긴 한데 조금 뜨는 느낌이 들긴하네요 촉촉함은 조금 부족하고 약간 매트,쓰고 있던 미스트쿠션을 다 써서 헤라로 한번 구매했어요이것저것 많이 챙겨주셔서 감사해요커버력 엄청 좋긴 한데 조금 뜨는 느낌이 들긴하네요촉촉함은 조금 부족하고 약간 매트한건성 분들은 쓰시면 불편하실거 같아요암튼 파운데이션같은 느낌입니다
489,489,5,21.04.26.,쿠션은 그동안 좋다고 느낀적이 없었는데좋다고 처음느낀 쿠션이에요 항상 파데로 집에서 메컵하고 수정화장용으로 쿠션 사용했는데 이건 기초베이스로해도 진짜 너무 좋아요전 하루종일 마스크,쿠션은 그동안 좋다고 느낀적이 없었는데좋다고 처음느낀 쿠션이에요항상 파데로 집에서 메컵하고 수정화장용으로 쿠션 사용했는데 이건 기초베이스로해도 진짜 너무 좋아요전 하루종일 마스크를 쓰고있는데 솔직히 마스크에 묻어나긴해요 근데 마스크를 벗었을때 흉하지 않아요
490,490,5,21.05.31.,이번이 두 번째 구매인데 오프라인이 아닌데도 친절함이 느껴집니다 항상 배보다 배꼽이 더 큰듯한 사은품들 고맙습니다 블쿠가 새로 리뉴얼 됐다고 해서 사봤는데 제가 느끼기엔 리뉴얼,이번이 두 번째 구매인데 오프라인이 아닌데도 친절함이 느껴집니다 항상 배보다 배꼽이 더 큰듯한 사은품들 고맙습니다 블쿠가 새로 리뉴얼 됐다고 해서 사봤는데 제가 느끼기엔 리뉴얼 된게 전보다 조금 두껍게 발려요 하지만 그만큼 커버가 확실히 잘 됩니다 바르는 방법만 좀 달리하면 얇게 잘 발려서 단점도 안됩니다 지속력도 길고 바르고 나서 파우더처리 해주면 마스크에 묻어나는 것도 현저히 적습니다 완전 만족해요
491,491,5,21.05.15.,제니가 쓴 색으로 골랏는데 화사하게 잘맞아요 둥둥뜨는것없고마스크에 묻어나긴하는데그래도 얼굴에 바른게 막 다 지워지고 그렇진 않네요밀착도 잘되고 커버력도좋고 만족합니다케이스도,제니가 쓴 색으로 골랏는데 화사하게 잘맞아요 둥둥뜨는것없고마스크에 묻어나긴하는데그래도 얼굴에 바른게 막 다 지워지고 그렇진 않네요밀착도 잘되고 커버력도좋고 만족합니다케이스도 너무예뻐용그리고 같이주같아용ㅎ
492,492,5,21.05.14.,가벼우면서도 커버력이 좋고 사용감 밀착력이 좋은 것 같아요이전 블랙쿠션이랑 비교해봤을때 화장이 좀 덜 꾸덕한 느낌이고 컬러가 예쁩니다케이스는 글로우쿠션이랑 동일한데 화이트블,가벼우면서도 커버력이 좋고 사용감 밀착력이 좋은 것 같아요이전 블랙쿠션이랑 비교해봤을때 화장이 좀 덜 꾸덕한 느낌이고 컬러가 예쁩니다케이스는 글로우쿠션이랑 동일한데 화이트블랙으로 컬러만 다른 것 같아요 리필은 호환될듯 합니다
493,493,5,21.04.18.,헤라 블랙쿠션 구매하실 생각이라면 여기저기 사은품 주는곳이 많다고 해도 저는 여기서 사는거 추천할게요 일단 문의도 굉장히 친절하게 받아주시고 사은품도 진짜 많이 줘요 쿠션,헤라 블랙쿠션 구매하실 생각이라면 여기저기 사은품 주는곳이 많다고 해도 저는 여기서 사는거 추천할게요 일단 문의도 굉장히 친절하게 받아주시고 사은품도 진짜 많이 줘요 쿠션하나 주문했는데 기획세트를 주문해서 받은것 같은 느낌이였어요ㅎㅎ 쇼핑백도 주셔서 선물로 주문해도 좋을 것 같아요 기존에 헤라 블랙쿠션과 용기자체에 크기도 달라서 호환은 안될 것 같아요 이번에 케이스 자체가 너무 고급스럽고 이쁘게 바뀌어서 너무 좋네요
